048000 048006
048006 048086
048211 048221
048221 048231
048231 048241
048431 048467
048467 04849D
04849D 0484D3
0484D3 048509
04857D 0485A4 Ptrs04857D
0487CB 04894B
04894B 04894F
0489DE 048B5E
048B5E 048C1E
048C1E 048CDE
048CDE 048CE6
048D74 048D8A
048D8A 048D91
048E49 048E4F 
048E4F 048E55
048F7F 048F87
049058 049060
049060 049064
049064 04906C
04906C 049078
049078 049082 HardCodedOWPaths
049082 049084
049084 049086
049086 0490CA
0490CA 04910E
04910E 049120
049414 049416
049416 04941A
04941A 04941E
04941E 049426
049426 049430
049430 049431
049431 04944E
04944E 04945D
049964 049966
049966 049968
049968 0499AA
0499AA 0499AC
0499AC 0499AE
0499AE 0499F0
0499F0 0499F1
0499F1 049A0C
049A0C 049A0E
049A0E 049A24
049AC5 049C91 LevelNameStrings
049C91 049CCF
049CCF 049CED
049CED 049D07
049EA7 049F49
049F49 049FEB
049FEB 04A03C
04A03C 04A054
04A054 04A084
04A084 04A086
04A086 04A0E4
04A0E4 04A0FC
04A0FC 04A400 LevelNames
04A400 04D678
04D678 04D6E9
04D85D 04D93D
04D93D 04DA1D
04DA1D 04DA33
04DA33 04DA49
04DAB3 04DABA
04DAF8 04DB08 Ptrs04DAF8
04DB06 04DB08
04DB08 04DB0C
04DB0C 04DB10
04DB10 04DB14
04DB14 04DB18
04DBC8 04DBCF
04DC02 04DC09
04DCAE 04DCB6
04DD8D 04DD8F
04DD8F 04E359
04E359 04E35B
04E35B 04E44B
04E44B 04E453 
04E577 04E587 Ptrs04E577
04E587 04E5A7
04E5A7 04E5AC
04E5AC 04E5B1
04E5B1 04E5B6
04E5B6 04E5D6
04E5D6 04E5E6
04E5E6 04E5EE
04E8E4 04E910
04E910 04E93C
04E93C 04E994
04E994 04E9EC
04EB56 04EB82
04EB82 04EBAE
04EBAE 04EBDA
04EBDA 04EBE1
04EBE1 04EBEB
04ECD3 04ED83
04EE7A 04EEAA
04EF3E 04F280
04F280 04F288
04F288 04F290
04F3EA 04F3FA Ptrs04F3EA
04F411 04F413
04F413 04F415
04F4B2 04F503
04F503 04F507
04F507 04F50B
04F50B 04F50F
04F50F 04F513
04F615 04F617 Instr04F615
04F617 04F619 Instr04F617
04F625 04F64C
04F64C 04F652
04F652 04F665
04F665 04F675
04F6D0 04F6D8
04F6D8 04F6E8
04F6E8 04F6F8
04F6F8 04F700
04F700 04F708
04F833 04F843
04F843 04F853
04F85F 04F875 OWSprites?
04F875 04F87C
04F9A8 04F9AC
04F9AC 04F9B0
04F9B0 04F9B4
04F9B4 04F9B8
04FA2E 04FA31
04FA31 04FA34
04FA34 04FA37
04FA37 04FA3A
04FA3A 04FA3E
04FB85 04FB88 
04FB88 04FB8B
04FB8B 04FB8E
04FB8E 04FB91
04FB91 04FB93
04FB93 04FB95
04FB95 04FB98
04FC1E 04FC1F
04FC1F 04FC22
04FC22 04FC23
04FC23 04FC26
04FC26 04FC36
04FC36 04FC46
04FD05 04FD07 Instr04FD05
04FD10 04FD1A
04FD1A 04FD22
04FD22 04FD24

04819F 0481E0
0481E0 048211
0498FB 049903
04F499 04F4B2
04F829 04F833
04FD0A 04FD10
04FDE0 04FDF0 
04FDF0 04FE00
04F8A6 04F8AE
04F8AE 04F8B6
04F8B6 04F8BE
04F8BE 04F8C6
04F8C6 04F8C8
04F8C8 04F8CA
04F8CA 04F8CC
04FFB1 050000
