058000 05801E
0581BB 0581FB
058417 058437
058437 058457
058457 058477
058477 058497
058497 0584B7
0584B7 0584D7
0584D7 0584DB
0584DB 0584E3
058776 05877E
0589BE 0589CE
058E19 059000
059A17 059AE0
059AE0 05A221
05A221 05A580 
05A580 05A590
05A590 05A5A7
05A5A7 05A5D9
05A5D9 05B0FF
05B0FF 05B106
05B106 05B108
05B108 05B10A
05B10A 05B10C
05B29B 05B2DB
05B2DB 05B2EB
05B35B 05B363
05B375 05B6FE
05B6FE 05B872
05B872 05B8C7
05B8C7 05B91C
05B91C 05B93B
05B93B 05B93D
05B93D 05B93F
05B93F 05B96B
05B96B 05B97D
05B97D 05B98B
05B98B 05B999
05B999 05BA39 AnimatedTileData
05BA39 05BB39
05BBA6 05BC00
05BC87 05BCA5 Ptrs05BC87
05BCB8 05BCD6 Ptrs05BCB8
05BCF0 05BD0E Ptrs05BCF0
05BD17 05BD35 Ptrs05BD17
05BFFD 05C001
05C001 05C005
05C406 05C408
05C408 05C40A
05C40A 05C40C
05C71B 05C71F
05C71F 05C723
05C723 05C727
05C7F0 05C7FC
05C7FC 05C808
05C808 05C80B
05C80B 05C80E
05C80E 05C810
05C810 05C814
05C814 05C818
05C818 05C81C
05C880 05C8A4
05C8A4 05C8C8
05C8C8 05C8FE
05C8FE 05C934
05C934 05C94F
05C94F 05C952
05C952 05C955
05C9D1 05C9DB
05C9DB 05C9E5 
05C9E5 05C9E7
05C9E7 05C9E9
05C9E9 05CA08
05CA08 05CA0C
05CA0C 05CA10
05CA10 05CA12
05CA12 05CA16
05CA16 05CA1E
05CA1E 05CA26
05CA26 05CA3E
05CA3E 05CA42
05CA42 05CA46
05CA46 05CA48
05CA48 05CA52
05CA52 05CA5C
05CA5C 05CA61
05CA61 05CA68
05CA68 05CA6E
05CA6E 05CA6F
05CA6F 05CABE
05CABE 05CABF
05CABF 05CB0F
05CB0F 05CB5F
05CB5F 05CB7B 
05CB7B 05CB9B
05CB9B 05CBA3
05CBA3 05CBBB
05CBBB 05CBC3
05CBC3 05CBC7 
05CBC7 05CBC8
05CBC8 05CBE3
05CBE3 05CBE5
05CBE5 05CBEB
05CBEB 05CBED
05CBED 05CBEE
05CBEE 05CBF1
05CBF1 05CBF5
05CBF5 05CBF6
05CBF6 05CBFF
05CC0E 05CC16 Ptrs05CC0E
05CC16 05CC61
05CC61 05CC66
05CD3F 05CD62
05CD62 05CD63
05CD63 05CD76
05CDE9 05CDEB
05CDEB 05CDFD
05CE3A 05CE42
05CE42 05CE4C
05CEA3 05CEC2
05CEC2 05CEC6
05CEC6 05CECA
05CFEA 05D608
05D608 05D665
05D665 05D708 Empty05D665
05D708 05D70C
05D70C 05D710
05D710 05D720
05D720 05D730
05D730 05D740
05D740 05D750
05D750 05D758
05D758 05D760
05D760 05D766
05D78A 05D790
05D790 05D796
05DAFF 05DB08 PtrsLong05DAFF
05DBA9 05DBAC
05DBC9 05DBF2
05DC46 05E000 Empty05DC46
05F000 05F200
05F200 05F400
05F400 05F600
05F600 05F800
05F800 05FA00
05FA00 05FC00
05FC00 05FE00
05FE00 060000
059087 059294
059294 059549
059549 0595DE
0595DE 059A17
