0080A6 0080B1
0080B1 0080BC
0080BC 0080C7
008194 008198
008198 00819C
00819C 0081A0
008559 008561
00883D 00885D
00885D 008873
008873 0088BF
0088BF 0088C3
008DD3 008DDB
008DDB 008DE3
008DE3 008F03
009307 009337
009337 009367
009367 009397
009397 0093C7
009509 009641
0096FF 009780
009780 009982
009982 009B80
009FAB 009FF1
00A017 00A02B
00A072 00A076
00A076 00A08E
00A08E 00A0A6
00A1A7 00A248
00A248 00A2C5
00A367 00A387
00A387 00A39B
00A80C 00A82C
00A9B1 00A9C7
00A9C7 00A9E7
00A9E7 00AA01
00AA01 00AA05
00ADEC 00ADF8
00B05D 00B06D
00B06D 00B071
00B0D2 00B0DA
00B1C2 00B1CE
00B34A 00B440
00B5BA 00B62B
00B705 00B70D
00B70D 00B723
00B744 00B748
00B769 00B76D
00B7DE 00B7F0
00B81F 00B825
00B852 00B85A
00B888 00B88C
00B8AD 00B8B5
00B938 00B970
00B99B 00B9AB
00B9D1 00BD8D
00BE08 00BE26
00BE26 00C000
00C083 00C0A3
00C0A3 00C0C3
00C126 00C12E
00C12E 00C1D2
00C1D2 00C284
00C284 00C328
00C328 00C3DA
00C43F 00C45F
00C4B4 00C4BB
00C54E 00C555
00C587 00C59B
00C59B 00C5AF
00C5AF 00C5C3
00C5F1 00C605
00C605 00C619
00C619 00C62D
00CA55 00CA59
00CA59 00CA5D
00CA5D 00CA66
00CA66 00CA76
00CA76 00CA80
00CA80 00CAA0
00CAA0 00CAB4
00CAB4 00CAC6
00CAC6 00CAE6
00CAE6 00CAFA
00CAFA 00D4CA
00D55A 00D57A
00D65F 00D661
00DB88 00DB90
00DB90 00DBA1
00DD82 00DD86
00DDDA 00DDFA
00E1B5 00E1D5
00E24B 00E27B
00E5C4 018000
018000 028000
028000 02C000
02C000 02F000
02F000 038000
038009 038011
0382DE 0382F1
0382F1 038304
038304 038308
038853 038861
038B0C 038B24
038B24 038B30
038EED 038EF1
038F1A 0390E4
0390E4 0390FC
039353 039373
039438 039440
039440 039B08
039C64 039C82
039D4A 039D70
039D70 039D91
039FA2 039FBD
03A050 03A060
03A0C8 03A0CF
03A331 03A410
03A410 03A436
03A5C8 03A5CC
03A897 03A89A
03A975 03A978
03A9E3 03A9F7
03AA78 03AA7C
03AA7C 03AA7E
03AB26 03AB2A
03AB5A 03AB5E
03AB5E 03AB63
03ACF2 03ACF4
03ACF4 03ACF6
03AD2B 03AD60
03AF0B 03AF0F
03AFE6 03AFEA
03B323 03B32B
03B417 03B41B
03B41B 03B41F
03B481 03B488
03B488 03B48F
03B48F 03B496
03B496 03B49D
03B49D 03B4A0
03B4A0 03B4A7
03B4A7 03B4AA
03B4AA 03B4AD
03B5ED 03B5F0
03B6E4 03B6E6
03B7DA 03B7DC
03B7DC 03B7DE
03B8EB 03B8F0
03B8F0 03B8F5
03B98D 03B991
03BA2F 03BA31
03BAA0 03BAA2
03BB16 03BB18
03BB83 03BB8C
03BB8C 03BB8E
03BD26 03BD28
03BD28 03BD2A
03BD2A 03BD2C
03BF87 03BF95
03C14D 03C14F
03C34A 03C34C
03C398 03C3B0
03C3D4 03C3DF
03C3DF 03C3F5
03C6D1 03C6D3
03C6EB 03C6ED
03C75C 03C768
03C814 03C819
03C819 03C81E
03C850 03C86C
03C86C 03C870
03C970 03C974
03C974 03C976
03CA44 03CA4A
03CA4A 03CA50
03CA9F 03CAA7
03CAA7 03CAAF
03CAAF 03CAB1
03CC8F 03CC92
03CC92 03CC95
03CE5D 03CE5F
03CE5F 03CE67
03CEA1 03CEA3
03D01D 03D01F
03D0E5 03D0E9
03D38D 03D392
03D392 03D397
03D3DB 03D3DE
03D491 03D4A0
03D55A 03D55E
03D6F1 03D6F9
03DC62 03DC70
03DCCD 03DCD5
03DE4F 03DE55
03DFA2 03DFA6
03E0B6 03E0BD
03E0BD 03E0C4
03E307 03E309
03E4C6 03E4C8
03E51D 03E526
03E6F7 03E6FB
03E702 03E706
03E726 03E72E
03E982 03E984
03E984 03E9B6
03EB3F 03EB42
03EB42 03EB5E
03EB5E 03EB7A
03EBD9 03EC10
03ECEF 03ED03
03ED8C 03EEEF
03F4A4 03F4A8
03F53B 03F53F
03F53F 03F548
03F62E 03F63E
03F63E 03F710
03F85B 03F861
03F9E6 03F9EC
03FA11 03FA17
03FC4C 03FC60
03FDC1 03FDC4
03FE0B 03FE1B
03FE1B 03FE1E
03FE54 03FE5D
03FE5D 03FE60
03FE60 03FE62
03FFDE 048000
